[2022-05-06 20:04:17,304] [log.py|__console] [line:40] INFO    : 展开搜索类型-- //div[@class='el-input-group__prepend']//input
[2022-05-06 20:04:17,359] [log.py|__console] [line:40] INFO    : 鼠标选停在搜索类型-- .el-select-dropdown__wrap.el-scrollbar__wrap
[2022-05-06 20:04:17,630] [log.py|__console] [line:40] INFO    : 切换搜索类型-- //div[@class='el-select-dropdown__wrap el-scrollbar__wrap']//span[text()='找工作']
[2022-05-06 20:04:17,712] [log.py|__console] [line:40] INFO    : 首页搜索框中输入搜索内容-- //input[@placeholder='搜索职位、公司']
[2022-05-06 20:04:17,795] [log.py|__console] [line:40] INFO    : 点击搜索按钮-- //button[@class='el-button butselect el-button--default']
[2022-05-06 20:04:17,902] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]
[2022-05-06 20:04:33,118] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x000000000395B5B0>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
[2022-05-06 20:04:33,118] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]
[2022-05-06 20:04:48,302] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x000000000395B5B0>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
[2022-05-06 20:05:03,481] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x000000000395B5B0>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
[2022-05-06 20:05:03,481] [log.py|__console] [line:46] ERROR   : object of type 'NoneType' has no len()
[2022-05-06 20:05:03,483] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]
[2022-05-06 20:05:18,673] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x000000000395B5B0>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
[2022-05-06 20:05:18,673] [log.py|__console] [line:40] INFO    : 获取列表中的岗位名称-- //div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]
[2022-05-06 20:05:33,862] [log.py|__console] [line:46] ERROR   : <pages.job_search.JobSearch object at 0x000000000395B5B0>页面未找到('xpath', "//div[@class='leftCentent']/ul[1]/p[@class='textStyle']/span[1]")元素
